Date,Open,High,Low,Close,Adj Close,Volume
"Sep 20, 2017",3220.77,3227.42,3213.66,3218.07,3218.07,136644200
"Sep 19, 2017",3249.28,3251.47,3220.56,3225.95,3225.95,183507100
"Sep 18, 2017",3230.38,3246.49,3225.48,3241.85,3241.85,179683900
"Sep 15, 2017",3211.27,3221.02,3193.41,3209.56,3209.56,285465800
"Sep 14, 2017",3229.16,3230.39,3209.5,3220.95,3220.95,202895700
"Sep 13, 2017",3234.84,3237.19,3221.1,3230.36,3230.36,188338200
"Sep 12, 2017",3240.68,3240.94,3226.23,3235.69,3235.69,178672000
"Sep 11, 2017",3239.29,3240.9,3222.11,3228.51,3228.51,194211500
"Sep 08, 2017",3226.65,3236.36,3218.34,3228.56,3228.56,185213300
"Sep 07, 2017",3241.94,3254.44,3226.9,3228.06,3228.06,192364400
"Sep 06, 2017",3250.38,3254.89,3223.83,3232.47,3232.47,207994200
"Sep 05, 2017",3238.03,3258.74,3236.93,3251.26,3251.26,151045000
"Sep 04, 2017",3274.39,3275.14,3227.36,3230.97,3230.97,271550600
"Aug 31, 2017",3288.56,3288.94,3274.97,3277.26,3277.26,404476500
"Aug 30, 2017",3259.13,3269.74,3258.12,3265.26,3265.26,201047000
"Aug 29, 2017",3255.87,3263.39,3244.55,3249.34,3249.34,171885800
"Aug 28, 2017",3255.52,3273.27,3252.29,3267.62,3267.62,128766800
"Aug 25, 2017",3276.41,3276.47,3257.8,3259.57,3259.57,166759900
"Aug 24, 2017",3267.57,3276.22,3264.8,3272.16,3272.16,166415500
"Aug 23, 2017",3266.29,3278.54,3260,3260.05,3260.05,204268800
"Aug 22, 2017",3254.39,3275.98,3252.13,3263.79,3263.79,200273100
"Aug 21, 2017",3254.88,3261.63,3244.23,3246.99,3246.99,186593400
"Aug 18, 2017",3256.25,3270.26,3249.37,3251.99,3251.99,224816600
"Aug 17, 2017",3267.35,3271.71,3258.66,3268.88,3268.88,241304000
"Aug 16, 2017",3281.8,3284.89,3259.4,3278.95,3278.95,208564600
"Aug 15, 2017",3319.84,3322.5,3291.06,3294.93,3294.93,202051100
"Aug 14, 2017",3296.44,3310.48,3293.78,3308.69,3308.69,222533000
"Aug 11, 2017",3293.75,3297.23,3277.02,3279.72,3279.72,301887000
"Aug 10, 2017",3322.07,3342.8,3316.56,3323.24,3323.24,332846600
"Aug 08, 2017",3325.28,3330.75,3307.64,3318.08,3318.08,227134600
"Aug 07, 2017",3329.43,3337.95,3314.39,3320.67,3320.67,149145400
"Aug 04, 2017",3346.62,3346.62,3326.52,3326.52,3326.52,218211600
"Aug 03, 2017",3335.67,3343.71,3331.72,3342.92,3342.92,235960800
"Aug 02, 2017",3337.57,3349.09,3321.65,3348.8,3348.8,231170200
"Aug 01, 2017",3321.5,3338.26,3321.5,3338.2,3338.2,230723200
"Jul 31, 2017",3338.17,3339.09,3319.57,3329.52,3329.52,285494700
"Jul 28, 2017",3342.42,3347.06,3319.41,3330.75,3330.75,217084200
"Jul 27, 2017",3342.77,3354.71,3340.21,3354.71,3354.71,260664100
"Jul 26, 2017",3336.76,3347.53,3324.19,3336.72,3336.72,266022000
"Jul 25, 2017",3314.29,3332.55,3313.67,3327.83,3327.83,231504300
"Jul 24, 2017",3307.18,3314.96,3294.66,3310.8,3310.8,160153200
"Jul 21, 2017",3292.84,3319.36,3290.93,3314.12,3314.12,273014600
"Jul 20, 2017",3326.82,3331.13,3287.46,3293.13,3293.13,265983800
"Jul 19, 2017",3303.01,3327.8,3299.13,3325.07,3325.07,299636400
"Jul 18, 2017",3291.71,3308.27,3289.45,3306.08,3306.08,232893700
"Jul 17, 2017",3296.46,3301.37,3287.56,3298.24,3298.24,266598100
"Jul 14, 2017",3240.18,3287.43,3236.32,3287.43,3287.43,411528900
"Jul 13, 2017",3219.18,3235.67,3219.18,3235.67,3235.67,230527800
"Jul 12, 2017",3219.67,3223.36,3196.14,3208.91,3208.91,263748800
"Jul 11, 2017",3248.55,3249.49,3212.89,3218.8,3218.8,256984800
"Jul 10, 2017",3237.42,3248.05,3232.96,3246.35,3246.35,163190200
"Jul 07, 2017",3219.42,3229.67,3210.1,3229.01,3229.01,182748200
"Jul 06, 2017",3248.89,3251.21,3222.26,3226.34,3226.34,221710400
"Jul 05, 2017",3209.86,3248.71,3199.98,3248.71,3248.71,228554000
"Jul 04, 2017",3231.26,3233.39,3204.52,3211.17,3211.17,185250500
"Jul 03, 2017",3228.91,3234.81,3213.69,3223.46,3223.46,182255900
"Jun 30, 2017",3243.79,3246.1,3221.84,3226.48,3226.48,258081200
"Jun 29, 2017",3234.36,3262.12,3234.33,3258.65,3258.65,219749900
"Jun 28, 2017",3217.5,3221.23,3203.75,3215.7,3215.7,209231900
"Jun 27, 2017",3216.57,3226.19,3211.52,3219.53,3219.53,190701400
"Jun 23, 2017",3223.6,3223.6,3200.21,3209.47,3209.47,286251200
"Jun 22, 2017",3206.11,3226.68,3202.73,3215.55,3215.55,215115400
"Jun 21, 2017",3213.67,3215.98,3196.49,3201.77,3201.77,215613800
"Jun 20, 2017",3249.42,3254.9,3226.43,3230.42,3230.42,202219100
"Jun 19, 2017",3239.08,3251.72,3238.49,3247.18,3247.18,141694600
"Jun 16, 2017",3235.18,3246.58,3224.19,3231.44,3231.44,295259100
"Jun 15, 2017",3243.94,3247.36,3226.75,3232.09,3232.09,224308800
"Jun 14, 2017",3262.82,3264.05,3242.53,3253.43,3253.43,200594800
"Jun 13, 2017",3253.57,3264.92,3252.62,3257.52,3257.52,189370900
"Jun 12, 2017",3256.71,3270.92,3243.26,3248.34,3248.34,201314800
"Jun 09, 2017",3243.03,3260.01,3239.98,3254.19,3254.19,191218700
"Jun 08, 2017",3236.41,3242.74,3226.64,3237.05,3237.05,157512800
"Jun 07, 2017",3237.61,3249.57,3230.49,3230.49,3230.49,197697500
"Jun 06, 2017",3237.51,3242.04,3229.59,3235.75,3235.75,176367700
"Jun 05, 2017",3242.35,3244.98,3229.26,3238.31,3238.31,193704600
"Jun 02, 2017",3242.73,3248.12,3233.59,3240.01,3240.01,183552600
"Jun 01, 2017",3214.12,3235.96,3211.1,3235.96,3235.96,264454300
"May 31, 2017",3202.12,3214.83,3199.83,3210.82,3210.82,431316200
"May 30, 2017",3215.71,3215.71,3195.82,3204.79,3204.79,157057400
"May 29, 2017",3217.25,3221.24,3211.09,3214.55,3214.55,159896600
"May 26, 2017",3227.38,3233.05,3217.67,3219.42,3219.42,189993400
"May 25, 2017",3231.3,3248.17,3229.52,3234.37,3234.37,228201600
"May 24, 2017",3230.6,3233.48,3220.68,3231.24,3231.24,178717600
