"","RSI Current","RSI Chained","Tourism","Overall employment changes","Food & Accomodation employment changes","CPI","ULC","IPI","AICc","RMSE","pVal","RMSE_forecast"
"141",1,0,0,0,1,1,0,0,501.978518978489,1.72892772944529,0.133511630287618,2.65089975752956
"142",1,0,0,0,1,1,0,1,504.121972765544,1.72722914506219,0.0968560055103618,2.6806402919083
"143",1,0,0,0,1,1,1,0,503.453231451203,1.71901666297807,0.0775058794527048,2.70654607786756
"144",1,0,0,0,1,1,1,1,505.671648466209,1.71802121370351,0.0570339861608186,2.74821379588004
"145",1,0,0,1,0,0,0,0,511.057311532347,1.81720435145637,0.30238261150532,2.93683516818767
"146",1,0,0,1,0,0,0,1,513.27431867584,1.81725205154574,0.251664702975705,2.94679380126919
"147",1,0,0,1,0,0,1,0,513.120423264185,1.81453995278605,0.250091187852214,2.8547624048118
"148",1,0,0,1,0,0,1,1,515.378518347022,1.81457826785028,0.203012887295589,2.86061805086845
"149",1,0,0,1,0,1,0,0,501.412685843153,1.72588644417578,0.13899872079732,2.67364192370327
"150",1,0,0,1,0,1,0,1,503.545744679348,1.72418964519413,0.0950348398078296,2.67913045191743
"151",1,0,0,1,0,1,1,0,502.804895609222,1.71571413137207,0.0904791604843057,2.67872122332644
"152",1,0,0,1,0,1,1,1,504.981186668506,1.71428798104307,0.0615768846491059,2.71568796889519
"153",1,0,0,1,1,0,0,0,513.261496110375,1.81674253194132,0.254560112851437,2.93715645054125
"154",1,0,0,1,1,0,0,1,515.518885016467,1.8167887861121,0.20720574472546,2.94594412175263
"155",1,0,0,1,1,0,1,0,515.374649072187,1.81433266948873,0.20424629571666,2.85739604450928
"156",1,0,0,1,1,0,1,1,517.673945546475,1.81436916873405,0.161825778521107,2.86270818490914
"157",1,0,0,1,1,1,0,0,503.629000069422,1.7258957484679,0.0874527794284572,2.66687376420671
"158",1,0,0,1,1,1,0,1,505.815063383889,1.72422761305131,0.0587854221931051,2.67225775749065
"159",1,0,0,1,1,1,1,0,504.969514694039,1.71500884081392,0.0421046417373009,2.66683206343156
"160",1,0,0,1,1,1,1,1,507.209374908032,1.71369862702347,0.0281300466056944,2.70249482112987
"161",1,0,1,0,0,0,0,0,508.385049274248,1.79626782421006,0.254492430556499,2.78579115190969
"162",1,0,1,0,0,0,0,1,510.550124229101,1.80469453356084,0.219813290244937,2.6148217783213
"163",1,0,1,0,0,0,1,0,510.631022082465,1.80476188582182,0.204527287414227,2.58615744385539
"164",1,0,1,0,0,0,1,1,512.809126414199,1.80470349865515,0.175415672375322,2.61513090425903
"165",1,0,1,0,0,1,0,0,499.129129710302,1.71376198227734,0.178052956173191,2.65281540080509
"166",1,0,1,0,0,1,0,1,501.350506666858,1.71399516246417,0.145894910619998,2.62831078199204
"167",1,0,1,0,0,1,1,0,501.237120468673,1.71125096213709,0.129285393222363,2.68449452805831
